Text,Text_English,Klasifikasi_NLP,Klasifikasi_NaiveBayes
kini360 kj calon positif covid-19 perlu asingkan diri kempen,now '60 kj covid-1' positive candidates have to isolate themselves from the campaign,Positif,Positif
apa dari  pasca covid euforia berkerumun dahsyat sangat ,what from the post-covid euphoria the crowds were terr,Netral,Netral
kan sejak covid tidak  terima job luar kota tidak main  jogja baik ,"since covid, we don't accept jobs outside the city, we don't play jogja wel",Netral,Netral
pinjam  padahal buat covid,borrow even though it's for covid,Netral,Netral
na siku covid alikua mafichoni akiskiza kagwe kama wengine kwani desk maombi haikua inafanya hizo siku amaowuor and his followers tofauti yao na takataka ini  harufu itu ,"and on the day of covid he grew up in hiding, crying like others because the application desk does not grow, he does those days, amaowuor and his followers are different from garbage, it smells like that",Negatif,Positif
sikapi tragedi halloween itaewon puan euforia kerumuman massa pasca-covid harus jadiperhatian,"responding to the halloween itaewon tragedy, puan, the euphoria of the post-covid mass crowd must be a concern",Netral,Netral
kasus covid-19 mulai melandai seorang warga ajung kecamatan kalisat pr tahun dilaporkan meninggal dunia diduga covid minggu kemarin pr langsung dimakamkan sesuai protokol kesehatan pencegahan covid desa setempat,the covid-1' case began to decline a resident of ajung kalisat sub-district pr year he was reported dead suspected of being covid last week pr was immediately buried according to the local village covid prevention health protocol,Negatif,Positif
my bos just casually told everyone in the office that her friends get covid after their holiday in bali terus  santainya ngmong tapi  saya sudah  swab sendiri barusan negatif sist,my boss just casually told everyone in the office that her friends get covid after their holiday in bali keep it easy ngmong but i've had my own swab just now negative sist,Positif,Positif
sebaran kasus covid-19 indonesia oktober dki jakarta terbanyak tambah kasus,the distribution of covid-1' cases in indonesia october dki jakarta the most cases ad,Positif,Netral
malaysia hadapi gelombang kecil covid-19 kasus naik persen,malaysia is facing a small wave of covid-1' cases increasing perc,Negatif,Negatif
iya benar  soalnya banyak mati kena covid,"yes, that's true, because many people die from covid",Positif,Positif
kes covid dikesan sarawak minggu,a covid case was detected in sarawak last week,Netral,Netral
memang  mati semua ex covid vaksin datanya kalau  belum  dokter status tweet berkatalah pintar bukan ingin dikatakan pintar,"indeed, all the ex-covid vaccine data are dead, if not yet, the doctor's tweet status says smart, don't want to be called smart",Positif,Negatif
video sandiwara merebaknya covid wuhan semakin menguatkan sinyalemen bapak pemilu pilpres ditunda mobilitas warga semakin dikekang jokowi melenggang mulus tiga periode,"the play video of the spread of covid wuhan further strengthens the father's indication that the presidential election was postponed, the mobility of citizens was increasingly restrained, jokowi walked smoothly for three period",Positif,Netral
sudah  upload perbaikan mba deb file perjanjian kerjasama notaris bewarna bawa bu bu positif coviddalah mau melebur saja  udahtar dimarahin dikatain lama lah tidak  patuh regulasi lah,"i have uploaded the repair, mba deb, the file of the notary cooperation agreement is colored, bring it, ma'am, it's positive that coviddalah just wants to melt down, i've been scolded for a long time, i don't comply with the regulations.",Positif,Negatif
pandemi covid meningkatkan lapangan pekerjaan logika macam mana dia pakai ,the covid pandemic increased the field of work which kind of logic he us,Positif,Positif
dulu target anak aktif dunia muzik masa tahun tiba covid melanda memusnahkan impian tak mau sudah  anak start aktif cuma layankan je,"i used to target children who were active in the world of music. when the year came, covid hit and destroyed dreams. i didn't want to. children started to be active, just wait",Negatif,Positif
banyak warga membutuhkan vaksin covid-19 melakukan perjalanan jauh,many citizens need the covid-1' vaccine to travel long dist,Positif,Positif
ketua dpr puan maharani berbelasungkawa atas tragedi perayaan halloween itaewon korsel euforia kerumuman massa pasca-covid harus perhatian,"speaker of the house of representatives, maharani, condolences over the tragedy, halloween celebration, itaewon, south korea, euphoria, post-covid mass crowds, attention must be paid",Netral,Netral
jual beli babi covid wuhan melonjak berdasarkan informasiyang,the sale and purchase of covid wuhan pigs soared based on information that,Netral,Netral
breaking news covid-19 indonesia oktober tambah kasus senin hariini,breaking news covid-1' indonesia october added cases monday today,Netral,Netral
iyaa deipada dia ngumumini lagi  covid,iyaa deipada dia ngumumini lagi covid,Netral,Netral
positif covid-19 bertambah kasus pasien meninggal orang,covid-1' positive cases increase in patient death,Positif,Positif
kasi humas polsek tirtajaya bripka hengky firmansyah melaksanakan monitoring gebyar vaksin presisi penyuntikkan vaksinasi covid sasaran lansia umum wilayah kecamatan tirtajaya kabupaten karawang,"head of public relations of the tirtajaya polsek, bripka hengky firmansyah, carried out monitoring of precision vaccines, injecting covid vaccinations, targeting the general elderly in the tirtajaya sub-district, karawang reg",Positif,Positif
update oktober bertambah kasus aktif covid-19 kaltim balikpapan kasus,"the october update has added active cases of covid-1', east kalimantan, balikpapan cas",Negatif,Netral
kini360 kj calon positif covid-19 perlu asingkan diri kempen,now '60 kj covid-1' positive candidates have to isolate themselves from the campaign,Positif,Positif
kok tega korupsi dana anggaran covid intensif nakes anggaran jkn padahal tersangka mantan kepala puskesmas bontonompo kini kasusnya ditangani kejari kab gowa //,"how come he has the heart to corruption in the intensive covid budget funds for the jkn budget even though the suspect is the former head of the bontonompo community health center, now the case is being handled by the gowa regency prosecutor's office //",Negatif,Negatif
wuhan di-lockdown setelah covid melonjak ribu orang dipaksa tinggaldi,wuhan was locked down after covid soared thousands of people were forced to live in,Negatif,Positif
awal pertama masuk sma pas covid kelas  yahahahahha saya  anak baru saya  banyak tanya  informasi teman  sekelas saya  saya  sedih sangat  katanya larehh teman  sekelas saya  ini  tidak  asik terus  crush baru saya  ini  sekelas sama  saya  pacaran sama  teman  sekelas saya ,"the first time i entered high school during the covid class, yeah, hahahahaha, i'm a new kid, i ask a lot of information about my classmates, i'm really sad, he said, larehh, my classmate isn't cool, my new crush, i'm in the same class as me, i'm dating my classm",Positif,Positif
ternyata covid belum selesai kirain memang  nggaaa adaaa huaaaaa susi,"it turns out that covid isn't over yet, i thought it really wasn't there, huaaaaa susi",Positif,Positif
vaksiningat covid-19 belum berakhir ayoo selalu patuhi 1 memakai masker2 mencuci tangan3 menjaga jarak4 menghindari kerumunan5 membatasi mobilitas humaspolri,vaccine remember covid-1' is not over yet come on always obey 1 wear mask2 wash hands' keep your distance4 avoid crowds5 limit mobility humaspolri,Netral,Netral
dirogol covid,beaten by covid,Netral,Netral
makin banyak kes mati sekumpulan ini  thought covid-19 will be the worst thing ever but then after that banyak  pulak kes kmatian mngejut dalam  jumlah besar terjadi akhir ini ,more and more cases of death in this bunch thought covid-1' will be the worst thing ever but then after that a lot of shocking deaths in large numbers have happened l,Negatif,Negatif
menghimbau kepada masyarakat mematuhi protokol kesehatan cara sayangi diri sendiri keluarga jaga kebersihan lingkungan bersama kita bisa memutus rantai penularan covid-19,"appealed to the public to comply with health protocols, how to love yourself, your family, keep the environment clean, together we can break the chain of transmission of covid-1'",Positif,Positif
menghimbau kepada masyarakat mematuhi protokol kesehatan cara sayangi diri sendiri keluarga jaga kebersihan lingkungan bersama kita bisa memutus rantai penularan covid-19,"appealed to the public to comply with health protocols, how to love yourself, your family, keep the environment clean, together we can break the chain of transmission of covid-1'",Positif,Positif
covid pertama saya januari lagi  mantep2nya pas isoman masih bisa main gitar nyanyi main drum pasca sembuh skg tidak bisa,"my first covid was january, it was great, right when isoman could still play the guitar, sing, play the drums, after he recovered, now he can't",Positif,Positif
kalau  sekarang  anaknya umur tahun  meninggal gara2 gagal ginjal krena pengaruh vaksin covid kalau  ditarik mundur tahun  keblakang ibunya hamil apakan tahun  lalu sudah  covid kalau  penyebab belum  jangan  suka tebak2an,"if now the child is 15 years old, died because of kidney failure due to the influence of the covid vaccine, if it is pulled back a year, the mother is pregnant, did she have covid last year, if the cause is not yet, don't like to guess",Negatif,Negatif
update covid-19 indonesia oktober tambah kasus baru meninggal,indonesia's october covid-1' update added new cases of death,Positif,Netral
menghimbau kepada masyarakat mematuhi protokol kesehatan cara sayangi diri sendiri keluarga jaga kebersihan lingkungan bersama kita bisa memutus rantai penularan covid-19,"appealed to the public to comply with health protocols, how to love yourself, your family, keep the environment clean, together we can break the chain of transmission of covid-1'",Positif,Positif
bkss ringankan beban rakyatmenurut menteri kanan kerja raya dato sri fadillah yusof kerajaan gps merupakan satu-satunya kerajaan negeri menyediakan bantuan sokongan mereka terkesan akibat penularan covid-19,bkss eases the burden of the people according to senior public works minister dato sri fadillah yusof the gps government is the only state government to provide support to those affected by the contagion of covid-1',Netral,Positif
sampurasun istimewa berikut kami informasikan update terbaru penanganan pencegahan covid-19 purwakarta senin /10/2022,following special sampurasun we inform you of the latest update on handling the prevention of covid-1' purwakarta monday /10/2022,Positif,Netral
konteksnya beda lah agustus kemungkinan besar bsu dimaksud bsu covid memang  gede kan bantuannya makanya kalau  mau diratain semua dapat  bakal gede terus harus diratain sebenarnya  saja  dapat  dapat  tidak  tidak ,"the context is different, august is most likely to be referred to as bsu covid, the assistance is really big, so if you want to level it all, it will be big and then you have to level it actually, can you or not",Positif,Positif
ap ini  covid xbb,is this covid xbb,Netral,Netral
budak uni ramai kena covid cuak ini  anak kampus hari2,many uni boys get covid cuak this day campus kid,Positif,Positif
kini360 kj calon positif covid-19 perlu asingkan diri kempen,now '60 kj covid-1' positive candidates have to isolate themselves from the campaign,Positif,Positif
the replies are all trashy variant xbb ini  hit singapore and indonesia too ingat covid ini  macam hang benak ka depa sentiasa duk evolve,the replies are all trashy variant xbb ini hit singapore and indonesia too remember covid this kind of hangs the mind ka depa always duk evolv,Positif,Positif
kini360 kj calon positif covid-19 perlu asingkan diri kempen,now '60 kj covid-1' positive candidates have to isolate themselves from the campaign,Positif,Positif
gimana yaa rata2nya cuma ituloh dibilang efek long covid malah poksan paksin halah,"how about that, on average, that's just the long effect of the covid, instead the poksan paksin is okay",Positif,Positif
selama minggu tidak  rumah ternyata turun kg selama cruise saya  makannya banyak sekali pas bangkok sempet covid tidak  napsu makan terus  ngemilnya buah wajar,during the week i wasn't home it turned out i lost kg during the cruise i ate a lot when in bangkok i had covid i didn't have an appetite and then snacked on natural fruit,Positif,Positif
covid nes berkerumun siah,covid nes crowding in vain,Netral,Netral
ngeliat dari  luar gangnya saja  sudah  undur diri deh kalau  saya  kapan2 saja  pas agak sepi mana keamanannya kan kurang kan harusnya pihak keamanan juga  bisa antisipasi kan sudah  tahu  bakal ramai  sangat  begitu  kan abis covid seperti  shibuya ramai  tapi  banyak polisi juga  jaga,just looking from the outside the alley has already withdrawn.,Netral,Netral
himbaun patuhi protokol kesehatanhimbauan terkait pendisiplinan masyarakat rangka adaptasi kebiasaan baru mencegah penyebaran covid-19,"appeals to comply with health protocols, appeals regarding community discipline in order to adapt to new habits to prevent the spread of covid-1'",Positif,Positif
siapa merasa tenggorokan sangat gatal batuk batuk pilek kepala mau pecah gejala brand new covid,"who feels that the throat is very itchy, cough, cough, runny nose, head that wants to burst, a symptom of the brand new covid",Positif,Negatif
apa benda punya bodo la dia ini  cakap demam biasa test covid still positive dia sudah  demam test positive itu  kamu  covid la bodoh bukannya syarat covid happened one time je tak paham  saya,what thing has a bodo he said he had a normal fever the test covid still positive he already had a fever test positive it's you covid he's stupid instead of the conditions covid happened one time je don't understand m,Negatif,Negatif
kadang suka envy sama wisuda sekarang bisa euforia bisa foto studio bisa jalan jalan angkatan covid cuma bisa olohok depan laptop pas beres sudah  deh ganti baju diam  dirumah malah langsung rebahan ajaa kaya kenang kenangan teh tidak  gituuuuh,"sometimes i like to envy at graduation, now i can be euphoric, i can take photos in the studio, i can walk in the covid force, i can only joke in front of the laptop, when i'm done, i change my clothes, i stay at home, i just lie down, i remember memories, i don't like that",Negatif,Negatif
saya tambah inflasi zaman phancing tak seteruk lepas kena covid saya suspek buih otak kamu  kurang cerdik ini ,"i added that inflation in the phancing era was not as bad as after covid, i suspect your brain foam is less intelligent than thi",Negatif,Negatif
pru15 calon positif covid-19 perlu ambil langkah keselamatan kesihatan via,pru15 covid-1' positive candidates need to take health safety measures via,Positif,Netral
vaksiningat covid-19 belum berakhir ayoo selalu patuhi 1 memakai masker2 mencuci tangan3 menjaga jarak4 menghindari kerumunan5 membatasi mobilitas,vaccinate remember covid-1' is not over yet come on always obey 1 wear a mask2 wash hands' keep your distance4 avoid crowds5 limit mobl,Netral,Netral
beberapa tahun terakhir kayaknya  sakit paling parah setelah covid kemarin,the last few years it seems like the worst pain after yesterday's covid,Negatif,Negatif
update covid-19 oktober kasus covid-19 bertambah meninggal,update covid-1' october cases of covid-1' increase in death,Netral,Netral
puan euforia kerumuman massa pasca-covid harus perhatian,ladies euphoria after the post-covid mass crowd must pay attent,Netral,Netral
semalam mimpi kena covid,last night i had a dream about covid,Netral,Netral
dalgona ampe covid ilang malas bergerak sangat  harus coba ,dalgona until covid is gone lazy to move really have to tri,Negatif,Negatif
saya deh  nampak  dua klinik deh  start susun kerusi dekat luar harus  sebb kes covid deh  naik,"i saw two clinics, they started arranging the chairs near the outside because of the covid case, they went up",Positif,Positif
nggregesi kok meh setengah musim kak ngalah2i keno covid,it's so sad that almost half of the season is over because of covid,Negatif,Negatif
gagal ginjal akut anak tidak terkait vaksin covid-19,pediatric acute kidney failure not related to covid-1' vaccin,Positif,Positif
reason bought an iphone sebabnya bila concert kot la the boys ambik phone and rakam macam  niepastu covid berpanjangan whos the clown me,reason bought an iphone the reason is when the concert is like that the boys take the phone and record like this because covid lasts long whos the clown m,Negatif,Negatif
gagal ginjal akut anak tidak terkait vaksin covid-19,pediatric acute kidney failure not related to covid-1' vaccin,Positif,Positif
gagal ginjal akut anak tidak terkait vaksin covid-19,pediatric acute kidney failure not related to covid-1' vaccin,Positif,Positif
dua kematian terbaharu malaysia berdepan gelombang covid-19 omicron xbb kita masih belum menang,malaysia's two latest deaths in the face of the wave of covid-1' omicron xbb we still haven't won,Positif,Positif
argelia no pide ini  pacar  ini  pasaporte covid,argelia no pide this boyfriend is pasaporte covid,Netral,Netral
jumlah kasus positif covid-19 bertambah senin 31/10/2022 pasien sembuh bertambah kasus meninggal bertambah kasus,the number of positive cases of covid-1' increases monday '1/10/2022 recovered patients increase in death cases increase in cas,Positif,Positif
sempat kosong karanganyar dapat tambahan dosis vaksin covid-19,"when it was empty, karanganyar got an additional dose of the covid-1' vaccin",Negatif,Netral
kedua tewas dengan  covid nasib baik tak seteruk dulu peliknya simptom baru muncul pergi  tadu  masa nk pergi  keje padahal tiga hari  straight ini  saya duduk rumah  je tk mana2 hurmmm,"both died from covid, luckily it's not as bad as it used to be, the strange symptoms just appeared, it's time to go, even though i've been sitting at home for three days straight and nowhere to go",Positif,Positif
sejak dulu itaewon menjadi tempat populer pelaksanaan halloween korea selatan perayaan halloween sabtu 29/10/2022 lalu merupakan perayaan besar-besaran pertama setelah pandemi covid-19 tak heran antusiasme pengunjung membludak,itaewon has long been a popular place for halloween celebrations in south korea. halloween celebrations on saturday 2'/10/2022 were the first large-scale celebrations after the covid-1' pandemic. it's no wonder that the enthusiasm of visitors was boom,Positif,Positif
otaknya diserang covid gimana sakitnya,his brain was attacked by covid how does it hurt,Netral,Netral
dinas kesehatan dki mencatat angka kasus gangguan ginjal oktober sebanyak kasus tren peningkatan kasus bulan terakhir kasus positif covid-19 jakarta naik //,the dki health office recorded the number of cases of kidney disorders in october as many as cases the trend of increasing cases in the last month positive cases of covid-1' jakarta increased //,Positif,Positif
indeks manufaktur china melorot kebijakan zero covid membuat pabrik china lesu,china's manufacturing index sags. the zero covid policy makes chinese factories sluggish,Netral,Netral
hmmm makin rmai ini  positive covid pastu cuti pru ini ,"hmmm, more and more people are positive for covid, so it's this holiday",Positif,Positif
breaking news covid-19 indonesia oktober tambah kasus senin hari,breaking news covid-1' indonesia october added cases monday day,Netral,Netral
terikut2 sangat  dengan  singapore dorg mansuh mask ko pon follow singapore mencanak canak canak kes covid so memang  heran la kes covid boleh naik jugak kat sini,"i follow singapore very much, do you cancel the mask, why don't you follow singapore, because the covid cases are increasing, so it's surprising that the covid cases can rise here as well.",Positif,Positif
covid-19 kuching catat jumlah kes angka tertinggi berbanding daerah -,covid-1' kuching records the highest number of cases compared to regions -,Netral,Netral
covid mulai menyebar lagiiii,covid is starting to spread againiiiiii,Netral,Netral
kini360 kj calon positif covid-19 perlu asingkan diri kempen,now '60 kj covid-1' positive candidates have to isolate themselves from the campaign,Positif,Positif
puan euforia kerumuman massa pasca covid harus perhatian,madam euphoria post-covid crowd must pay attent,Netral,Netral
nenek saya  waktu dirawat rs covid,my grandmother was treated at the covid hospit,Netral,Netral
masyarakat cina aneh betul betul lebah sedemikian percaya pemimpinnya masih ramai  kisah covid disana,"chinese society is really strange, bees believe that their leaders still have many covid stories ther",Positif,Positif
sudah  hampir tahunmasih saja  denial soal covidkondisi mereda iya benar bersyukurtapi tetap jangan abai,"it's been almost a year, i'm still in denial about covid, the condition has subsided, yes, i'm really grateful, but still don't ignore it",Positif,Negatif
pembangunan flyover cisauk tertunda dua tahun pandemi covid-19,the construction of the cisauk flyover was delayed by two years due to the covid-1' pandem,Negatif,Negatif
lebih ngrasa sekrang badan ringkih benar  dikit2 capai  terus  sakit tidak  ngerti long covid ato sugesti kalau  haid teratur sama  susah tidur memang  sudah  dari  lama covid,"i feel more frail now, it's true that i get a little tired and i don't understand the long covid or the suggestion that menstruation is regular and it's hard to sleep, it's been a long time since covid",Negatif,Negatif
shanghai disney resort menghentikan operasi isnin langkah pencegahan covid-19 semua pengunjung tidak dibenarkan meninggalkan kawasan berkenaan ujian dijalankan membawa keputusan negatif,shanghai disney resort stopped operations on monday as a covid-1' prevention measure all visitors are not allowed to leave the area in question tests were carried out with negative result,Negatif,Positif
kata ahli virus covid-19 semakin hari semakin melemah kok  video terjadi china kemarin2 china berlangsung pilpres hegemoni politik mix issue covid-19 bisa bermain,"said the expert on the covid-1' virus, it is getting weaker day by day, how come the video happened in china yesterday, china took place in the presidential election, political hegemony, the mix issue of covid-1' can play",Netral,Positif
puan euforia kerumuman massa pasca-covid harus jadiperhatia,"ladies, the euphoria of the post-covid mass crowd must be a concern",Netral,Netral
kini360 kj calon positif covid-19 perlu asingkan diri kempen,now '60 kj covid-1' positive candidates have to isolate themselves from the campaign,Positif,Positif
makasih adeee sumpah tidak  lucu kalau  saya kena covid setahun,thank you adeee i swear it's not funny if i get covid for a year,Negatif,Negatif
how come hadi shule mjini madarasa yalikuwa hayatoshi imebidi pesa covid zitumike kujenga madarasa mnaponzwa sana na propaganda hamfuatilii mambo,"how come until school in the city, classes were not enough, covid money had to be used to build class",Netral,Positif
sampaikan bela sungkawa korsel puan minta euforia kerumuman massa pasca covid perhatian,convey my condolences to the south korean madam asking for euphoria from the post-covid crowd for attent,Netral,Netral
ketiga sepertinya  tidak  covid kan boongan,"third, it doesn't seem like covid, right?",Positif,Netral
menkeu sebut ri telah lewati krisis tahun hingga pandemi covid-19,the minister of finance said that the republic of indonesia had passed the crisis of the year until the covid-1' pandem,Netral,Netral
da baik covid demam lepas itu  asthma attack,da good covid fever off it's asthma attack,Positif,Netral
kota balikpapan masuk zona merah covid-19 jumlah kasus terkonfirmasi positif semakin meningkat beberapa pekan terakhir,"balikpapan city is included in the covid-1' red zone, the number of positive confirmed cases has increased in recent week",Positif,Positif
kini360 kj calon positif covid-19 perlu asingkan diri kempen,now '60 kj covid-1' positive candidates have to isolate themselves from the campaign,Positif,Positif
sepatutnya outstation kuala terengganu esok dengan  bos tup tup covid mujurlah semua sudah  prepare so bila tak pergi ini  dia cari je la my replacement tapi  tadu  dia call cukup  ikut lagi  best hati cukup  boss hv no idea how covid saves me from,supposed to be outstation kuala terengganu tomorrow with the boss tup tup covid fortunately everything is prepared so if he doesn't go here he will look for my replacement but then he will call just follow again best heart just enough boss hv no idea how covid saves me from,Positif,Negatif
kena covid bulan  july sejak sekarang  haid selalu tidak  teratur belum  efek lainnya seperti  fatique pusing mudah lelah dan lain,got covid in july since now menstruation is always irregular yet other effects such as fatique dizziness easily tired and oth,Negatif,Negatif
update perkembangan covid-19 kota blitar senin oktober pukul wib selengkapnya,"update on the development of covid-1' in blitar city, monday october at wib in ful",Netral,Netral
kemenkes tegaskan gagal ginjal akut anak tak terkait vaksin covid-19,the ministry of health emphasized that acute kidney failure in children is not related to the covid-1' vaccin,Positif,Positif
pasien covid-19 sembuh bertambah orang hari akumulasi kasus sembuh covid-19 indonesia menjadi orang lalu pasien covid-19 meninggal bertambah orang total kasus kematian covid-19 menjadi orang,"covid-1' patients recovering increase in number of people, the accumulation of recovered cases of covid-1' indonesia becomes people then covid-1' patients die, the number of people total cases of covid-1' deaths becomes peopl",Netral,Netral
update perkembangan covid-19 kota blitar senin oktober pukul wib,"update on the development of covid-1' in blitar city, monday october at wib",Netral,Netral
kemenkes tegaskan gagal ginjal akut anak tak terkait vaksin covid-19,the ministry of health emphasized that acute kidney failure in children is not related to the covid-1' vaccin,Positif,Positif
kasus covid-19 bertambah orang minggu 30/10/2022 total kasus covid-19 indonesia menjadi orang data kementerian kesehatan menyebut penambahan kasus hari merupakan hasil pemeriksaan spesimen,covid-1' cases increase in people sunday '0/10/2022 indonesia's total covid-1' cases become people data from the ministry of health said the addition of cases today was the result of specimen examin,Netral,Netral
update oktober kasus covid-19 tambah orangoleh,update october covid-1' cases added by peopl,Netral,Netral
kini360 kj calon positif covid-19 perlu asingkan diri kempen,now '60 kj covid-1' positive candidates have to isolate themselves from the campaign,Positif,Positif
viral tragedi itaewon dikaitkan efek covid-19 dokter jantung angkat bicara - detikhealth,viral itaewon tragedy linked to the effects of covid-1' cardiologist spoke up - detikhealth,Netral,Netral
kini360 kj calon positif covid-19 perlu asingkan diri kempen,now '60 kj covid-1' positive candidates have to isolate themselves from the campaign,Positif,Positif
pengiriman iphone terganggu kebijakan covid-19 difoxconn,iphone delivery disrupted by difoxconn's covid-1' polici,Netral,Netral
covid boleh meningkat risiko serangan jantung stroke,covid can increase the risk of heart attack and strok,Netral,Netral
masih covid,still covid,Netral,Netral
update covid-19 indonesia senin 31/10/2022positif +2 457sembuh +2 309meninggal +34sumber,update covid-1' indonesia monday '1/10/2022 positive +2 457 recovered +2 '0' died +'4 sourc,Positif,Positif
saya  survivor covid delta sekarang  indra penciuman saya  berkurang meskipun tidak  drastis sekali  berkurangnya buat saya  masih berasa bau tumpukan sampah busuk jarak meteran saja  sudah  tidak  kecium fyi saja  saya  vaksin setelah negatif covid,"i am a covid delta survivor, now my sense of smell is reduced, although it is not drastically reduced, for me i still smell the smell of a pile of rotting garbage, the distance of the meter can't smell it, just fyi, i got the vaccine after being negative for covid",Negatif,Negatif
kes covid naik,covid cases are up,Netral,Netral
hari orang indonesia sembuh covid-19 jumlah total telah sembuh corona sebanyak orang,"the day indonesian people recover from covid-1', the total number of people who have recovered from corona is as many as 1,000 peopl",Positif,Positif
nga juga  saya  pernah kena covid beraktivitas biasa kamu  setelah sembuh covid vaksin sudah  booster,"nor have i ever had covid, do your usual activities after recovering from covid, the vaccine has been boost",Negatif,Netral
so kes covid sudah  naik balik parent saya dua2 demam,so the covid cases have gone up again my parents both have fev,Netral,Positif
hari orang indonesia sembuh covid-19 jumlah total telah sembuh corona sebanyak orang,"the day indonesian people recover from covid-1', the total number of people who have recovered from corona is as many as 1,000 peopl",Positif,Positif
minyak jatuh tertekan pembatasan covid china data pabrik melemah,oil plunged under pressure from covid restrictions china weaker factory data,Netral,Netral
padia ini  anak dekat pru tiber kes covid naik aduh jangan la baru anak recover kehidupan balik ini ,"padia is a child near pru tiber. the covid case is on the rise. oh, it's not just the child who is recovering from lif",Positif,Positif
saya ghisau lah tiap petang anak maghrib / sudah  tengah  malam badan mula gigil sejuk padahal tak aircond ini  covid hantu covid,"i miss it every evening in the evening / it's midnight, my body starts to get cold even though there is no air conditioning, this is covid, the ghost of covid",Negatif,Negatif
covid varian apa ini ,what variant of covid is thi,Netral,Netral
covid saya  sering deg deg an kalau  makan restoran tidak  harga menu,covid i often get nervous when i eat at a restaurant without menu pric,Netral,Netral
ribu orang disuntik vaksin covid-19 dosis lengkap,thousands of people were injected with the full dose of the covid-1' vaccin,Positif,Netral
walaupun seminit ja separuh mati saya anak angkat mas  siap tanya bla bla you okay tak me dekat rumah kena covid mas  sorry sorry gsjaksgakansgagmati jelah,"even if it's just a minute, i'm half dead, my adopted son, i'm ready to ask blah blah, you're okay, i'm not close to home, i have covid, ma'am, i'm sorry, sorry gsjaksgakansgagmati jelah",Negatif,Negatif
masa pantang my mil jaga now kena covid mil jaga ' so grateful,my abstinence period mil guard now hit by covid mil guard' so gr,Netral,Netral
hahahahaa saya anak kata cepat penat rasa punca gemok bukan covid,"hahahaha, my son says that getting tired quickly is the cause of obesity, not covid",Positif,Negatif
kemudian richard eliezer mengatakan ferdy sambo terpapar covid-19 isolasinya dilaksanakan kediaman bangka tidak pernah isolasi duren tiga dikatakan susi,then richard eliezer said ferdy sambo was exposed to covid-1' his isolation was carried out at the bangka residence never isolated duren tiga said susi,Netral,Netral
covid + period is wena yenza lapho mina keza enza ngapha siza dibana kuwa phambili mtkbw,covid + period is you do it when i come and do it here we will meet in the future mtkbw,Netral,Netral
kini360 kj calon positif covid-19 perlu asingkan diri kempen,now '60 kj covid-1' positive candidates have to isolate themselves from the campaign,Positif,Positif
maintenance tempat saya keje ini  department kena covid lepastu dok berjangkit production store,the maintenance department where i worked was sick with covid and then the dock was infected with the production stor,Negatif,Negatif
arab saudi tegaskan jamaah umroh tetap wajib vaksin meningitis covid-19 tidak,saudi arabia emphasizes that umrah pilgrims are still required to receive the covid-1' meningitis vaccin,Netral,Netral
arab saudi tegaskan jamaah umroh tetap wajib vaksin meningitis covid-19 tidak,saudi arabia emphasizes that umrah pilgrims are still required to receive the covid-1' meningitis vaccin,Netral,Netral
dua minggu lepas beberapa orang staff company saya kerja ini  kena jangkitan covid terus management company buat undang2 sendiri mewajibkan semua staf pakai mask mana2 walaupun selepas kerja,"two weeks ago, some of my company's staff were infected with covid, and the company's management made its own law requiring all staff to wear masks, even after work.",Positif,Positif
sedihnya kena covid hahaha,sadly got covid hahaha,Negatif,Netral
ini  ja la modai hampa nasib baik dapat menteri2 pn dapat menteri2 ph jahanam takdak covid pon sudah  kelaut semua,"this is it, it's good luck, good luck getting ministers, if you get ministers, hell, there's no covid, you're all already in the sea",Positif,Positif
dia macam tak percaya kejap sbb masa covid tengah peak dulu dia tak pernah kena tetiba last week kena,he couldn't believe it for a moment because when covid was at its peak he never got hit until last week,Netral,Negatif
sblom ini  xda rasa gastrik lepas kena  covid vaksin ini  gastrik makin teruk makan  bnda angin sikit jer mula lah jadi  sesak dada nafas jadi  tersekat,"this morning, i don't have gastritis after getting covid, this vaccine, gastritis gets worse when i eat a little bit of wind, then it starts to feel tight in the chest, breathing becomes block",Negatif,Negatif
symtomp sudah  harap bukan covid,symptomp already hope it's not covid,Netral,Netral
iyalah orang meninggal kena covid,"yes, people die of covid",Netral,Netral
kenapa  perusahaan swasta belum  nerima pkl dengan  alasan  covid terus  capai  sangat  mana harus perusahaan swasta lagi  tidak boleh negeri,why haven't private companies accepted street vendors with the reason that covid continues to achieve very much where private companies must no longer be state-own,Positif,Positif
minyak jatuh tertekan pembatasan covid china data pabrik melemah,oil plunged under pressure from covid restrictions china weaker factory data,Netral,Netral
lepas kena covid nilevel anak minum air masak itu  memang sikit sangatlah rasa pahit je tekak anak telan air masak minum teh ais laju pulak sedut,"after getting covid nilevel, the child drinks boiled water it's really a little bit bitter, the child's throat swallows boiled water, drinks iced tea and quickly inhal",Positif,Positif
berbunyi perkhabaran omicron mengganas saem hamba kat sabah positive xpasti covid asal omicron nauzubillahhiminzalik semoga malaysia baik2 saja ,heard the news of omicron terrorizing saem slaves in sabah positive xdefinitely covid origin omicron nauzubillahhiminzalik hope malaysia is fin,Positif,Positif
berat turun kg sbb covid,weight loss kg due to covid,Negatif,Netral
lepas kena covid ini  tak terasa anak cari teh ais dakk dulu balik keja jaa cari teh ais,"after getting this covid, i don't feel like i'm looking for iced tea",Netral,Netral
